COMMUNITY,MOVEMENT_GROUP,FAN_ID,PRIMARY_MERCHANT,SECONDARY_MERCHANT,DAY_DATE,WINS,LOSSES,NET,PRIMARY_SPEND,SECONDARY_SPEND
NFL,Video Streaming,9e2118d4e7536a673342e1c9c54be527,roku,_none_,2023-10-01,0,1,-1,16.290357143,
NFL,Video Streaming,392413ce3870d6edf3c18091723dafeb,youtube_tv,_none_,2024-08-19,0,1,-1,75.616250000,
WNBA,Video Streaming,1e2c2c1ff890aa2f013ea9839ba221c9,_none_,netflix,2024-04-26,0,1,-1,,16.150000000
MLB,Video Streaming,f337651dff957ac0bd3022fa49e69eee,youtube_tv,_none_,2024-03-26,0,1,-1,64.286285714,
MLS,Video Streaming,66cc7d50168025ff2032d0c0e1d27367,netflix,_none_,2024-05-26,1,0,1,3.656666667,
NBA,Video Streaming,a013f72bdca81df8ede53b077063d2ee,netflix,_none_,2024-10-13,0,1,-1,16.397575758,
NHL,Video Streaming,386aa52fbb53d9b6984cd22902e8c500,roku,_none_,2024-01-13,1,0,1,6.865454545,
NHL,Video Streaming,4156c8e3584a8706996be341553b2c3f,_none_,netflix,2024-02-09,0,1,-1,,15.854000000
NBA,Video Streaming,dae8519b12bd1142f99163e2c8a74b75,peacock_tv,_none_,2023-11-12,1,0,1,5.938750000,
NFL,Video Streaming,2fc8dc2acafee8a5e3ce3f48414138f7,_none_,paramount+,2024-09-06,1,0,1,,5.895588235
NBA,Video Streaming,80bcc5b30f05c04bbfeef01b9a70b145,_none_,roku,2024-06-18,0,1,-1,,8.295000000
NFL,Video Streaming,eee48e555086b6acafded0541f2936be,_none_,hulu,2024-05-28,1,0,1,,82.217058824
NFL,Video Streaming,00307e5afbe21949363f152398e24323,youtube_tv,_none_,2024-03-01,0,1,-1,112.134285714,
MLB,Video Streaming,1eb3fb3d880ca66e86f5e22ed888c499,_none_,netflix,2023-12-09,1,0,1,,17.125000000
MLB,Video Streaming,d1574ea51f07d753e32c3594b820ccd1,disney_plus,_none_,2023-10-04,0,1,-1,9.820400000,
NFL,Video Streaming,573ecfb8b4f950b62bb7eabb609c5f2f,_none_,disney_plus,2024-07-25,1,0,1,,7.208000000
NHL,Video Streaming,4dc68c972e3889116498c92266fcc71d,hulu,_none_,2024-09-27,0,1,-1,17.967857143,
MLB,Video Streaming,8c6d41d3ff5e7a5c80802dd2d7cff709,netflix,_none_,2023-09-27,0,1,-1,16.128000000,
NWSL,Video Streaming,01bf41d9a3934ca2d89307ca58bce5da,_none_,netflix,2024-07-06,0,1,-1,,24.223750000
NFL,Video Streaming,4f6546bb1e6002de5f444565cd5777c2,_none_,netflix,2023-10-02,1,0,1,,15.632352941
MLB,Video Streaming,41b473783f4bcdb4838562c05d3a727a,_none_,espn+,2024-04-10,1,0,1,,10.003448276
NFL,Video Streaming,8a2e1efc935bd0a5e6aedf374f1e4d1f,disney_plus,_none_,2024-05-21,1,0,1,12.628000000,
MLB,Video Streaming,50ee3b775f11e634b445c5d08e046817,_none_,netflix,2024-03-06,0,1,-1,,24.080000000
NFL,Video Streaming,6ed3c221dfc286b64cce3306b18f466f,fubo_tv,_none_,2024-01-21,0,1,-1,266.823333333,
NBA,Video Streaming,0239dd816f0f1904fef8c85f174a4688,peacock_tv,_none_,2024-02-22,0,1,-1,3.573333333,
NFL,Video Streaming,344deb56f4916c259c92a9a0a91fbd59,netflix,_none_,2023-10-01,1,0,1,7.925714286,
NBA,Video Streaming,e6dd411fcb6b3c17e83a14e6a2bdcf4a,peacock_tv,_none_,2024-10-13,0,1,-1,4.561428571,
MLB,Video Streaming,bc77d147a7137e076c94933b07662baa,hbo_max,_none_,2024-07-22,0,1,-1,10.690000000,
NBA,Video Streaming,22a3376807bbb6547f11d2578ad6c304,peacock_tv,_none_,2024-03-22,0,1,-1,6.150000000,
MLB,Video Streaming,bbff8ed0ef8350c5361639b926a3a597,_none_,peacock_tv,2023-10-07,0,1,-1,,7.002307692
WNBA,Video Streaming,f6ca7baa7dfd8c2e51eac7211bdda745,nba_league_pass,_none_,2024-05-23,1,0,1,13.131000000,
NFL,Video Streaming,6627a518b9bdcb57effbe813e68ba880,hulu,_none_,2024-03-27,0,1,-1,17.733636364,
NBA,Video Streaming,a1411b4f5f0184c98fb9f318c336f189,_none_,nfhs_network,2024-09-03,1,0,1,,11.880000000
MLS,Video Streaming,1eae4c26b6846c958bb93a4668610499,_none_,sling_tv,2023-10-04,0,1,-1,,45.515909091
NBA,Video Streaming,178ba6f06ffd3c0e2183a939ac903362,_none_,netflix,2024-05-25,0,1,-1,,18.485000000
NBA,Video Streaming,6e66228e309e31eda98d296fcba6d6a3,netflix,_none_,2024-03-09,1,0,1,16.763333333,
MLB,Video Streaming,3de2e7615d73abefe22af1311dc1503e,peacock_tv,_none_,2024-05-18,0,1,-1,11.566666667,
NHL,Video Streaming,53e09fb10d268c7aabf4e07650b1879b,netflix,_none_,2023-10-30,1,0,1,17.105000000,
NHL,Video Streaming,2f2be62c1b155b72a1f732207b37dc4e,hbo_max,_none_,2023-11-29,0,1,-1,17.350400000,
NFL,Video Streaming,3c9ddc3c28eca4db9eab50b295bb26c2,_none_,netflix,2023-10-30,1,0,1,,20.705000000
NFL,Video Streaming,af2f097d956b31253515ba772380d17e,_none_,netflix,2024-02-12,0,1,-1,,12.805000000
MLB,Video Streaming,da8e1be832736a76c109bd7ccc75414c,_none_,disney_plus,2024-05-26,1,0,1,,8.355000000
NFL,Video Streaming,45d9eeb8c78d8b3c43936d4965bc4937,peacock_tv,_none_,2023-12-21,1,0,1,6.940000000,
NFL,Video Streaming,8a09bff018e08bfd0df12c9210a00f90,_none_,paramount+,2024-02-26,1,0,1,,11.968571429
NHL,Video Streaming,8fd52a96f2d38d9953e5275b4636a271,roku,_none_,2024-07-29,0,1,-1,23.610000000,
NFL,Video Streaming,966027362e122cce9f222946389f41db,disney_plus,_none_,2024-01-23,0,1,-1,10.715000000,
NFL,Video Streaming,b110682e75dc2da9e7501097a2352e5e,_none_,peacock_tv,2024-04-28,1,0,1,,5.922941176
MLB,Video Streaming,214a85392798bc47ea214ab6d62edc21,netflix,_none_,2024-02-01,1,0,1,23.671538462,
NBA,Video Streaming,479ff3af66adbf4e9b64412b959b1d24,hulu,_none_,2024-06-28,1,0,1,98.023333333,
